links_Name_name,links_Mov1_Name,links_Mov2_Mov2,links_Mov3_Mov3,links_Mov4_Mov4,links_Nature_Nature,links_Held_Item_Held_Item,links_Ability_Ability
,,Taunt,,,,,
,,Foul Play,,,,,
,,Double-Edge,,,,,
,,Hidden Power,,,,,
,,Haze,,,,,
,,Dark Void,,,,,
,,Sucker Punch,,,,,
,,Dark Void,,,,,
,,Hypnosis,,,,,
,,Hyper Voice,,,,,
,,Fire Punch,,,,,
,,Moonblast,,,,,
,,Overheat,,,,,
,,Heal Bell,,,,,
,,Geomancy,,,,,
,,Extreme Speed,,,,,
,,Low Kick,,,,,
,,Thunder Wave,,,,,
,,Fake Out,,,,,
,,Earth Power,,,,,
,,Geomancy,,,,,
,,Tailwind,,,,,
,,Hypnosis,,,,,
,,Wide Guard,,,,,
,,Trick Room,,,,,
,,Thunderbolt,,,,,
,,Eruption,,,,,
,,Double-Edge,,,,,
,,Icy Wind,,,,,
,,Icy Wind,,,,,
,,Fire Punch,,,,,
,,Wide Guard,,,,,
,,Double-Edge,,,,,
,,Gravity,,,,,
,,Moonblast,,,,,
,,Double-Edge,,,,,
,,Sucker Punch,,,,,
,,Skill Swap,,,,,
,,Tailwind,,,,,
,,Dark Void,,,,,
,,Geomancy,,,,,
,,Substitute,,,,,
,,Hidden Power,,,,,
,,Follow Me,,,,,
,,Taunt,,,,,
,,Leech Seed,,,,,
,,Extreme Speed,,,,,
,,Scald,,,,,
,,Crunch,,,,,
,,Flare Blitz,,,,,
,,Encore,,,,,
,,Draco Meteor,,,,,
,,Moonblast,,,,,
,,Spore,,,,,
,,Double-Edge,,,,,
,,Flare Blitz,,,,,
,,Earth Power,,,,,
,,Fake Out,,,,,
,,Dazzling Gleam,,,,,
,,Wide Guard,,,,,
,,,Water Spout,,,,
,,,Close Combat,,,,
,,,Sludge Bomb,,,,
,,,Endeavor,,,,
,,,Skill Swap,,,,
,,,Swords Dance,,,,
,,,Thunder,,,,
,,,Fire Punch,,,,
,,,Hidden Power,,,,
,,,Will-O-Wisp,,,,
,,,Hidden Power,,,,
,,,Skill Swap,,,,
,,,Will-O-Wisp,,,,
,,,Protect,,,,
,,,Endeavor,,,,
,,,Gyro Ball,,,,
,,,Wide Guard,,,,
,,,Ice Beam,,,,
,,,Geomancy,,,,
,,,Safeguard,,,,
,,,Fire Punch,,,,
,,,Gravity,,,,
,,,Close Combat,,,,
,,,Thunder Wave,,,,
,,,Protect,,,,
,,,Ice Beam,,,,
,,,Wide Guard,,,,
,,,Endeavor,,,,
,,,Gyro Ball,,,,
,,,Will-O-Wisp,,,,
,,,Skill Swap,,,,
,,,Moonblast,,,,
,,,Precipice Blades,,,,
,,,Wide Guard,,,,
,,,Double-Edge,,,,
,,,Hypnosis,,,,
,,,Overheat,,,,
,,,Geomancy,,,,
,,,Spore,,,,
,,,Protect,,,,
,,,Scald,,,,
,,,Trick Room,,,,
,,,Transform,,,,
,,,Fake Out,,,,
,,,Swords Dance,,,,
,,,Geomancy,,,,
,,,Rage Powder,,,,
,,,Thunder Wave,,,,
,,,Ice Beam,,,,
,,,U-turn,,,,
,,,Sucker Punch,,,,
,,,Overheat,,,,
,,,Taunt,,,,
,,,Leech Seed,,,,
,,,Return,,,,
,,,Rage Powder,,,,
,,,Moonblast,,,,
,,,Follow Me,,,,
,,,Tailwind,,,,
,,,Rock Tomb,,,,
,,,Safeguard,,,,
,,,Power-Up Punch,,,,
,,,Earth Power,,,,
,,,Trick Room,,,,
,,,Ice Beam,,,,
,,,Disable,,,,
,,,Ice Beam,,,,
,,,Transform,,,,
,,,Tailwind,,,,
,,,Thunder Wave,,,,
,,,Sucker Punch,,,,
,,,Precipice Blades,,,,
,,,Safeguard,,,,
,,,Waterfall,,,,
,,,Thunder Wave,,,,
,,,Geomancy,,,,
,,,Fake Out,,,,
,,,Helping Hand,,,,
,,,Eruption,,,,
,,,Extreme Speed,,,,
,,,Taunt,,,,
,,,Sucker Punch,,,,
,,,Swords Dance,,,,
,,,Skill Swap,,,,
,,,Thunder Wave,,,,
,,,Sucker Punch,,,,
,,,Sucker Punch,,,,
,,,Earth Power,,,,
,,,Quick Guard,,,,
,,,Transform,,,,
,,,Power-Up Punch,,,,
,,,Wide Guard,,,,
,,,Gravity,,,,
,,,Tailwind,,,,
,,,Earth Power,,,,
,,,Geomancy,,,,
,,,Extreme Speed,,,,
,,,Quick Guard,,,,
,,,Dazzling Gleam,,,,
,,,Safeguard,,,,
,,,Fake Out,,,,
,,,Taunt,,,,
,,,Sucker Punch,,,,
,,,Fire Punch,,,,
,,,Moonblast,,,,
,,,Double-Edge,,,,
,,,Gravity,,,,
,,,Crafty Shield,,,,
,,,Gyro Ball,,,,
,,,Protect,,,,
,,,Precipice Blades,,,,
,,,Hyper Voice,,,,
,,,Substitute,,,,
,,,Thunder,,,,
,,,Swords Dance,,,,
,,,Crafty Shield,,,,
,,,Power-Up Punch,,,,
,,,Hypnosis,,,,
,,,Geomancy,,,,
,,,Tailwind,,,,
,,,Return,,,,
,,,Psychic,,,,
,,,Hyper Voice,,,,
,,,Follow Me,,,,
,,,Dazzling Gleam,,,,
,,,Fire Punch,,,,
,,,Protect,,,,
,,,Spiky Shield,,,,
,,,Haze,,,,
,,,Power Whip,,,,
,,,Protect,,,,
,,,Icy Wind,,,,
,,,Dragon Dance,,,,
,,,Swords Dance,,,,
,,,Helping Hand,,,,
,,,Extreme Speed,,,,
,,,Geomancy,,,,
,,,Rage Powder,,,,
,,,Tailwind,,,,
,,,Tailwind,,,,
,,,Hidden Power,,,,
,,,Feint,,,,
,,,Geomancy,,,,
,,,Crafty Shield,,,,
,,,,Protect,,,
,,,,Feint,,,
,,,,Will-O-Wisp,,,
,,,,Nuzzle,,,
,,,,Trick Room,,,
,,,,Extreme Speed,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Taunt,,,
,,,,Protect,,,
,,,,Safeguard,,,
,,,,Protect,,,
,,,,Swords Dance,,,
,,,,Nuzzle,,,
,,,,Skill Swap,,,
,,,,Feint,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Double-Edge,,,
,,,,Substitute,,,
,,,,Hypnosis,,,
,,,,Feint,,,
,,,,Protect,,,
,,,,Swords Dance,,,
,,,,Protect,,,
,,,,Feint,,,
,,,,Nuzzle,,,
,,,,Skill Swap,,,
,,,,Protect,,,
,,,,Trick Room,,,
,,,,Dazzling Gleam,,,
,,,,Fire Punch,,,
,,,,Dark Void,,,
,,,,Hyper Voice,,,
,,,,Gyro Ball,,,
,,,,Quick Guard,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Draco Meteor,,,
,,,,Protect,,,
,,,,Skill Swap,,,
,,,,Switcheroo,,,
,,,,Quick Guard,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Power-Up Punch,,,
,,,,Protect,,,
,,,,Thunder Wave,,,
,,,,Protect,,,
,,,,Sucker Punch,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Spiky Shield,,,
,,,,Quick Guard,,,
,,,,Protect,,,
,,,,Moonblast,,,
,,,,Double-Edge,,,
,,,,Protect,,,
,,,,Icy Wind,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Spiky Shield,,,
,,,,Protect,,,
,,,,Trick Room,,,
,,,,Fake Out,,,
,,,,Protect,,,
,,,,Encore,,,
,,,,Icy Wind,,,
,,,,Roar,,,
,,,,Protect,,,
,,,,Quick Guard,,,
,,,,Roar,,,
,,,,Protect,,,
,,,,Draco Meteor,,,
,,,,Protect,,,
,,,,Fake Out,,,
,,,,Protect,,,
,,,,Trick Room,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Power-Up Punch,,,
,,,,Protect,,,
,,,,Super Fang,,,
,,,,Taunt,,,
,,,,Double-Edge,,,
,,,,Crafty Shield,,,
,,,,Trick Room,,,
,,,,Double-Edge,,,
,,,,Precipice Blades,,,
,,,,Dazzling Gleam,,,
,,,,Protect,,,
,,,,Yawn,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Quick Guard,,,
,,,,Protect,,,
,,,,Power-Up Punch,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Trick Room,,,
,,,,Spiky Shield,,,
,,,,Skill Swap,,,
,,,,Taunt,,,
,,,,Protect,,,
,,,,Tailwind,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Spiky Shield,,,
,,,,Sucker Punch,,,
,,,,Trick Room,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Power-Up Punch,,,
,,,,Icy Wind,,,
,,,,Double-Edge,,,
,,,,Transform,,,
,,,,Moonblast,,,
,,,,Precipice Blades,,,
,,,,Earth Power,,,
,,,,Wide Guard,,,
,,,,Super Fang,,,
,,,,Protect,,,
,,,,Dragon Ascent,,,
,,,,Roar,,,
,,,,Protect,,,
,,,,Tailwind,,,
,,,,Fake Out,,,
,,,,Overheat,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Roar,,,
,,,,U-turn,,,
,,,,Protect,,,
,,,,Encore,,,
,,,,Protect,,,
,,,,Spiky Shield,,,
,,,,,Modest,,
,,,,,Adamant,,
,,,,,Timid,,
,,,,,Timid,,
,,,,,Sassy,,
,,,,,Jolly,,
,,,,,Modest,,
,,,,,Quiet,,
,,,,,Timid,,
,,,,,Jolly,,
,,,,,Timid,,
,,,,,Relaxed,,
,,,,,Timid,,
,,,,,Jolly,,
,,,,,Timid,,
,,,,,Sassy,,
,,,,,Adamant,,
,,,,,Modest,,
,,,,,Modest,,
,,,,,Jolly,,
,,,,,Adamant,,
,,,,,Relaxed,,
,,,,,Adamant,,
,,,,,Calm,,
,,,,,Jolly,,
,,,,,Modest,,
,,,,,Adamant,,
,,,,,Timid,,
,,,,,Sassy,,
,,,,,Timid,,
,,,,,Modest,,
,,,,,Bold,,
,,,,,Adamant,,
,,,,,Bold,,
,,,,,Hasty,,
,,,,,Sassy,,
,,,,,Naive,,
,,,,,Modest,,
,,,,,Sassy,,
,,,,,Naive,,
,,,,,Quiet,,
,,,,,Sassy,,
,,,,,Jolly,,
,,,,,Adamant,,
,,,,,Jolly,,
,,,,,Timid,,
,,,,,Timid,,
,,,,,Timid,,
,,,,,Modest,,
,,,,,Jolly,,
,,,,,Jolly,,
,,,,,Naive,,
,,,,,Calm,,
,,,,,Brave,,
,,,,,Jolly,,
,,,,,Relaxed,,
,,,,,Timid,,
,,,,,Timid,,
,,,,,Adamant,,
,,,,,Jolly,,
,,,,,Timid,,
,,,,,Jolly,,
,,,,,Modest,,
,,,,,Timid,,
,,,,,Modest,,
,,,,,Timid,,
,,,,,Modest,,
,,,,,Relaxed,,
,,,,,Hasty,,
,,,,,Modest,,
,,,,,Jolly,,
,,,,,Serious,,
,,,,,Timid,,
,,,,,Adamant,,
,,,,,Adamant,,
,,,,,Modest,,
,,,,,Careful,,
,,,,,Adamant,,
,,,,,Modest,,
,,,,,Jolly,,
,,,,,Timid,,
,,,,,Jolly,,
,,,,,Adamant,,
,,,,,Sassy,,
,,,,,Timid,,
,,,,,Jolly,,
,,,,,Jolly,,
,,,,,Timid,,
,,,,,Timid,,
,,,,,Timid,,
,,,,,Adamant,,
,,,,,Bold,,
,,,,,Relaxed,,
,,,,,Hasty,,
,,,,,Brave,,
,,,,,Modest,,
,,,,,Jolly,,
,,,,,Jolly,,
,,,,,Modest,,
,,,,,Jolly,,
,,,,,Sassy,,
,,,,,Timid,,
,,,,,Adamant,,
,,,,,Brave,,
,,,,,Modest,,
,,,,,Hasty,,
,,,,,Relaxed,,
,,,,,Bold,,
,,,,,Sassy,,
,,,,,Timid,,
,,,,,Lonely,,
,,,,,Lonely,,
,,,,,Timid,,
,,,,,Modest,,
,,,,,Brave,,
,,,,,Bold,,
,,,,,Jolly,,
,,,,,Relaxed,,
,,,,,Modest,,
,,,,,Naive,,
,,,,,Jolly,,
,,,,,Timid,,
,,,,,Hasty,,
,,,,,Jolly,,
,,,,,Modest,,
,,,,,Adamant,,
,,,,,Timid,,
,,,,,Timid,,
,,,,,Timid,,
,,,,,Brave,,
,,,,,Naive,,
,,,,,Bold,,
,,,,,Jolly,,
,,,,,Adamant,,
,,,,,Jolly,,
,,,,,Hasty,,
,,,,,Modest,,
,,,,,Sassy,,
,,,,,Hasty,,
,,,,,Adamant,,
,,,,,Timid,,
,,,,,Jolly,,
,,,,,Timid,,
,,,,,Bold,,
,,,,,,Blue Orb,
,,,,,,Eject Button,
,,,,,,Gengarite,
,,,,,,Assault Vest,
,,,,,,Lum Berry,
,,,,,,Focus Sash,
,,,,,,Blue Orb,
,,,,,,Red Orb,
,,,,,,Gengarite,
,,,,,,Chesto Berry,
,,,,,,Manectite,
,,,,,,Lum Berry,
,,,,,,Gengarite,
,,,,,,Focus Sash,
,,,,,,Assault Vest,
,,,,,,Lum Berry,
,,,,,,Eject Button,
,,,,,,Blue Orb,
,,,,,,Power Herb,
,,,,,,Kangaskhanite,
,,,,,,Red Orb,
,,,,,,Mental Herb,
,,,,,,Fist Plate,
,,,,,,Sitrus Berry,
,,,,,,Focus Sash,
,,,,,,Blue Orb,
,,,,,,Eject Button,
,,,,,,Assault Vest,
,,,,,,Lum Berry,
,,,,,,Gengarite,
,,,,,,Sitrus Berry,
,,,,,,Power Herb,
,,,,,,Red Orb,
,,,,,,Focus Sash,
,,,,,,Salamencite,
,,,,,,Lum Berry,
,,,,,,Focus Sash,
,,,,,,Power Herb,
,,,,,,Lum Berry,
,,,,,,Salamencite,
,,,,,,Blue Orb,
,,,,,,Mental Herb,
,,,,,,Choice Scarf,
,,,,,,Lum Berry,
,,,,,,Focus Sash,
,,,,,,Power Herb,
,,,,,,Red Card,
,,,,,,Sitrus Berry,
,,,,,,Blue Orb,
,,,,,,Life Orb,
,,,,,,Kangaskhanite,
,,,,,,Focus Sash,
,,,,,,Sitrus Berry,
,,,,,,Leftovers,
,,,,,,Kangaskhanite,
,,,,,,Mental Herb,
,,,,,,Power Herb,
,,,,,,Focus Sash,
,,,,,,Life Orb,
,,,,,,Red Orb,
,,,,,,Focus Sash,
,,,,,,Kangaskhanite,
,,,,,,Red Orb,
,,,,,,Sitrus Berry,
,,,,,,Blue Orb,
,,,,,,Gengarite,
,,,,,,Blue Orb,
,,,,,,Focus Sash,
,,,,,,Salamencite,
,,,,,,Sitrus Berry,
,,,,,,Kangaskhanite,
,,,,,,Red Orb,
,,,,,,Focus Sash,
,,,,,,Assault Vest,
,,,,,,Sitrus Berry,
,,,,,,Power Herb,
,,,,,,Lum Berry,
,,,,,,Life Orb,
,,,,,,Red Orb,
,,,,,,Assault Vest,
,,,,,,Sitrus Berry,
,,,,,,Kangaskhanite,
,,,,,,Life Orb,
,,,,,,Lum Berry,
,,,,,,Focus Sash,
,,,,,,Life Orb,
,,,,,,Kangaskhanite,
,,,,,,Red Orb,
,,,,,,Lum Berry,
,,,,,,Choice Scarf,
,,,,,,Kangaskhanite,
,,,,,,Chesto Berry,
,,,,,,Lum Berry,
,,,,,,Salamencite,
,,,,,,Red Orb,
,,,,,,Power Herb,
,,,,,,Life Orb,
,,,,,,Chesto Berry,
,,,,,,Power Herb,
,,,,,,Red Card,
,,,,,,Lum Berry,
,,,,,,Focus Sash,
,,,,,,Kangaskhanite,
,,,,,,Red Orb,
,,,,,,Power Herb,
,,,,,,Salamencite,
,,,,,,Lum Berry,
,,,,,,Chesto Berry,
,,,,,,Red Card,
,,,,,,Sitrus Berry,
,,,,,,Red Orb,
,,,,,,Red Orb,
,,,,,,Gengarite,
,,,,,,Blue Orb,
,,,,,,Red Orb,
,,,,,,Chesto Berry,
,,,,,,Kangaskhanite,
,,,,,,Lum Berry,
,,,,,,Power Herb,
,,,,,,Salamencite,
,,,,,,Kangaskhanite,
,,,,,,Sitrus Berry,
,,,,,,Salamencite,
,,,,,,Focus Sash,
,,,,,,Power Herb,
,,,,,,Red Orb,
,,,,,,Red Orb,
,,,,,,Focus Sash,
,,,,,,Lum Berry,
,,,,,,Leftovers,
,,,,,,Life Orb,
,,,,,,Sitrus Berry,
,,,,,,Gyaradosite,
,,,,,,Life Orb,
,,,,,,Focus Sash,
,,,,,,Assault Vest,
,,,,,,Power Herb,
,,,,,,Lum Berry,
,,,,,,Salamencite,
,,,,,,Choice Band,
,,,,,,Red Orb,
,,,,,,Life Orb,
,,,,,,Power Herb,
,,,,,,Focus Sash,
,,,,,,,Drizzle
,,,,,,,Intimidate
,,,,,,,Levitate
,,,,,,,Lightning Rod
,,,,,,,Levitate
,,,,,,,Air Lock
,,,,,,,Drizzle
,,,,,,,Drought
,,,,,,,Levitate
,,,,,,,Levitate
,,,,,,,Lightning Rod
,,,,,,,Levitate
,,,,,,,Levitate
,,,,,,,Air Lock
,,,,,,,Lightning Rod
,,,,,,,Levitate
,,,,,,,Intimidate
,,,,,,,Drizzle
,,,,,,,Fairy Aura
,,,,,,,Inner Focus
,,,,,,,Drought
,,,,,,,Heatproof
,,,,,,,Intimidate
,,,,,,,Prankster
,,,,,,,Air Lock
,,,,,,,Drizzle
,,,,,,,Intimidate
,,,,,,,Lightning Rod
,,,,,,,Levitate
,,,,,,,Levitate
,,,,,,,Levitate
,,,,,,,Fairy Aura
,,,,,,,Drought
,,,,,,,Moody
,,,,,,,Intimidate
,,,,,,,Heatproof
,,,,,,,Blaze
,,,,,,,Fairy Aura
,,,,,,,Regenerator
,,,,,,,Intimidate
,,,,,,,Drizzle
,,,,,,,Levitate
,,,,,,,Own Tempo
,,,,,,,Intimidate
,,,,,,,Air Lock
,,,,,,,Fairy Aura
,,,,,,,Flame Body
,,,,,,,Prankster
,,,,,,,Drizzle
,,,,,,,Intimidate
,,,,,,,Inner Focus
,,,,,,,Air Lock
,,,,,,,Prankster
,,,,,,,Iron Barbs
,,,,,,,Inner Focus
,,,,,,,Effect Spore
,,,,,,,Fairy Aura
,,,,,,,Moody
,,,,,,,Gale Wings
,,,,,,,Drought
,,,,,,,Prankster
,,,,,,,Inner Focus
,,,,,,,Drought
,,,,,,,Levitate
,,,,,,,Drizzle
,,,,,,,Levitate
,,,,,,,Drizzle
,,,,,,,Moody
,,,,,,,Intimidate
,,,,,,,Levitate
,,,,,,,Scrappy
,,,,,,,Drought
,,,,,,,Prankster
,,,,,,,Air lock
,,,,,,,Intimidate
,,,,,,,Fairy Aura
,,,,,,,Intimidate
,,,,,,,Intimidate
,,,,,,,Drought
,,,,,,,Air Lock
,,,,,,,Prankster
,,,,,,,Inner Focus
,,,,,,,Technician
,,,,,,,Levitate
,,,,,,,Prankster
,,,,,,,Dark Aura
,,,,,,,Scrappy
,,,,,,,Drought
,,,,,,,Inner Focus
,,,,,,,Moody
,,,,,,,Inner Focus
,,,,,,,Moody
,,,,,,,Heatproof
,,,,,,,Intimidate
,,,,,,,Drought
,,,,,,,Fairy Aura
,,,,,,,Air Lock
,,,,,,,Prankster
,,,,,,,Fairy Aura
,,,,,,,Prankster
,,,,,,,Intimidate
,,,,,,,Prankster
,,,,,,,Inner Focus
,,,,,,,Drought
,,,,,,,Fairy Aura
,,,,,,,Intimidate
,,,,,,,Heatproof
,,,,,,,Moody
,,,,,,,Levitate
,,,,,,,Prankster
,,,,,,,Drought
,,,,,,,Drought
,,,,,,,Levitate
,,,,,,,Drizzle
,,,,,,,Drought
,,,,,,,Moody
,,,,,,,Inner Focus
,,,,,,,Heatproof
,,,,,,,Fairy Aura
,,,,,,,Intimidate
,,,,,,,Inner Focus
,,,,,,,Levitate
,,,,,,,Intimidate
,,,,,,,Moody
,,,,,,,Fairy Aura
,,,,,,,Drought
,,,,,,,Drought
,,,,,,,Moody
,,,,,,,Inner Focus
,,,,,,,Iron Barbs
,,,,,,,Air Lock
,,,,,,,Pressure
,,,,,,,Intimidate
,,,,,,,Gale Wings
,,,,,,,Lightning Rod
,,,,,,,Air Lock
,,,,,,,Fairy Aura
,,,,,,,Regenerator
,,,,,,,Intimidate
,,,,,,,Gale Wings
,,,,,,,Drought
,,,,,,,Lightning Rod
,,,,,,,Fairy Aura
,,,,,,,Moody
Kyogre,,,,,,,
Kangaskhan,,,,,,,
Thundurus,,,,,,,
Bronzong,,,,,,,
Cresselia,,,,,,,
Groudon,,,,,,,
Groudon,,,,,,,
Kangaskhan,,,,,,,
Talonflame,,,,,,,
Xerneas,,,,,,,
Salamence,,,,,,,
Smeargle,,,,,,,
Gengar,,,,,,,
Groudon,,,,,,,
Terrakion,,,,,,,
Crobat,,,,,,,
Whimsicott,,,,,,,
Kyogre,,,,,,,
Kangaskhan,,,,,,,
Salamence,,,,,,,
Xerneas,,,,,,,
Smeargle,,,,,,,
Talonflame,,,,,,,
Groudon,,,,,,,
Kyogre,,,,,,,
Rayquaza,,,,,,,
Mawile,,,,,,,
Landorus,,,,,,,
Cresselia,,,,,,,
Amoonguss,,,,,,,
Kyogre,,,,,,,
Rayquaza,,,,,,,
Amoonguss,,,,,,,
Kangaskhan,,,,,,,
Thundurus,,,,,,,
Aegislash,,,,,,,
Groudon,,,,,,,
Kyogre,,,,,,,
Salamence,,,,,,,
Kangaskhan,,,,,,,
Bronzong,,,,,,,
Thundurus,,,,,,,
Hitmontop,,,,,,,
Rayquaza,,,,,,,
Gengar,,,,,,,
Kyogre,,,,,,,
Raichu,,,,,,,
Bronzong,,,,,,,
,Water Spout,,,,,,
,Fake Out,,,,,,
,Thunderbolt,,,,,,
,Gyro Ball,,,,,,
,Skill Swap,,,,,,
,Precipice Blades,,,,,,
,Eruption,,,,,,
,Frustration,,,,,,
,Brave Bird,,,,,,
,Dazzling Gleam,,,,,,
,Hyper Voice,,,,,,
,Fake Out,,,,,,
,Sludge Bomb,,,,,,
,Earth Power,,,,,,
,Close Combat,,,,,,
,Tailwind,,,,,,
,Tailwind,,,,,,
,Water Spout,,,,,,
,Fake Out,,,,,,
,Hyper Voice,,,,,,
,Geomancy,,,,,,
,Dark Void,,,,,,
,Brave Bird,,,,,,
,Eruption,,,,,,
,Water Spout,,,,,,
,Dragon Ascent,,,,,,
,Play Rough,,,,,,
,Earth Power,,,,,,
,Trick Room,,,,,,
,Spore,,,,,,
,Origin Pulse,,,,,,
,Dragon Ascent,,,,,,
,Spore,,,,,,
,Fake Out,,,,,,
,Thunderbolt,,,,,,
,King's Shield,,,,,,
,Fire Punch,,,,,,
,Origin Pulse,,,,,,
,Double-Edge,,,,,,
,Fake Out,,,,,,
,Gyro Ball,,,,,,
,Thunderbolt,,,,,,
,Fake Out,,,,,,
,Dragon Ascent,,,,,,
,Sludge Bomb,,,,,,
,Origin Pulse,,,,,,
,Fake Out,,,,,,
,Gyro Ball,,,,,,
,,Scald,,,,,
,,Double-Edge,,,,,
,,Hidden Power,,,,,
,,Trick Room,,,,,
,,Icy Wind,,,,,
,,Fire Punch,,,,,
,,Earth Power,,,,,
,,Sucker Punch,,,,,
,,Flare Blitz,,,,,
,,Moonblast,,,,,
,,Double-Edge,,,,,
,,Dark Void,,,,,
,,Hidden Power,,,,,
,,Eruption,,,,,
,,Rock Slide,,,,,
,,Quick Guard,,,,,
,,Protect,,,,,
,,Origin Pulse,,,,,
,,Return,,,,,
,,Double-Edge,,,,,
,,Protect,,,,,
,,Wide Guard,,,,,
,,Flare Blitz,,,,,
,,Earth Power,,,,,
,,Origin Pulse,,,,,
,,Extreme Speed,,,,,
,,Sucker Punch,,,,,
,,Grass Knot,,,,,
,,Safeguard,,,,,
,,Rage Powder,,,,,
,,Ice Beam,,,,,
,,Extreme Speed,,,,,
,,Rage Powder,,,,,
,,Frustration,,,,,
,,Thunder Wave,,,,,
,,Shadow Ball,,,,,
,,Precipice Blades,,,,,
,,Ice Beam,,,,,
,,Hyper Voice,,,,,
,,Double-Edge,,,,,
,,Hypnosis,,,,,
,,Hidden Power,,,,,
,,Wide Guard,,,,,
,,Extreme Speed,,,,,
,,Will-O-Wisp,,,,,
,,Water Spout,,,,,
,,Volt Switch,,,,,
,,Trick Room,,,,,
,,,Ice Beam,,,,
,,,Low Kick,,,,
,,,Taunt,,,,
,,,Skill Swap,,,,
,,,Gravity,,,,
,,,Rock Slide,,,,
,,,Thunderbolt,,,,
,,,Power-Up Punch,,,,
,,,Tailwind,,,,
,,,Geomancy,,,,
,,,Tailwind,,,,
,,,Follow Me,,,,
,,,Hypnosis,,,,
,,,Protect,,,,
,,,Poison Jab,,,,
,,,Taunt,,,,
,,,Encore,,,,
,,,Ice Beam,,,,
,,,Sucker Punch,,,,
,,,Tailwind,,,,
,,,Dazzling Gleam,,,,
,,,Fake Out,,,,
,,,Tailwind,,,,
,,,Thunder Wave,,,,
,,,Thunder,,,,
,,,Swords Dance,,,,
,,,Fire Fang,,,,
,,,Hidden Power,,,,
,,,Skill Swap,,,,
,,,Clear Smog,,,,
,,,Water Spout,,,,
,,,Swords Dance,,,,
,,,Clear Smog,,,,
,,,Power-Up Punch,,,,
,,,Taunt,,,,
,,,Gyro Ball,,,,
,,,Rock Slide,,,,
,,,Thunder,,,,
,,,Tailwind,,,,
,,,Power-Up Punch,,,,
,,,Skill Swap,,,,
,,,Thunder Wave,,,,
,,,Feint,,,,
,,,Swords Dance,,,,
,,,Haze,,,,
,,,Ice Beam,,,,
,,,Nuzzle,,,,
,,,Skill Swap,,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Thunder Wave,,,
,,,,Safeguard,,,
,,,,Trick Room,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Fake Out,,,
,,,,Snatch,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Wide Guard,,,
,,,,Protect,,,
,,,,Hidden Power,,,
,,,,Protect,,,
,,,,Super Fang,,,
,,,,Beat Up,,,
,,,,Protect,,,
,,,,Power-Up Punch,,,
,,,,Roar,,,
,,,,Moonblast,,,
,,,,Transform,,,
,,,,Taunt,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Ice Beam,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Wide Guard,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Sucker Punch,,,
,,,,Trick Room,,,
,,,,Protect,,,
,,,,Close Combat,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Protect,,,
,,,,Endeavor,,,
,,,,Safeguard,,,
,,,,,Modest,,
,,,,,Jolly,,
,,,,,Timid,,
,,,,,Sassy,,
,,,,,Timid,,
,,,,,Adamant,,
,,,,,Timid,,
,,,,,Jolly,,
,,,,,Jolly,,
,,,,,Timid,,
,,,,,Naive,,
,,,,,Relaxed,,
,,,,,Timid,,
,,,,,Timid,,
,,,,,Jolly,,
,,,,,Timid,,
,,,,,Timid,,
,,,,,Modest,,
,,,,,Jolly,,
,,,,,Naive,,
,,,,,Modest,,
,,,,,Relaxed,,
,,,,,Jolly,,
,,,,,Timid,,
,,,,,Quiet,,
,,,,,Jolly,,
,,,,,Brave,,
,,,,,Modest,,
,,,,,Relaxed,,
,,,,,Sassy,,
,,,,,Timid,,
,,,,,Jolly,,
,,,,,Sassy,,
,,,,,Jolly,,
,,,,,Timid,,
,,,,,Quiet,,
,,,,,Jolly,,
,,,,,Quiet,,
,,,,,Naive,,
,,,,,Jolly,,
,,,,,Sassy,,
,,,,,Timid,,
,,,,,Adamant,,
,,,,,Jolly,,
,,,,,Timid,,
,,,,,Modest,,
,,,,,Timid,,
,,,,,Sassy,,
,,,,,,Blue Orb,
,,,,,,Kangaskhanite,
,,,,,,Life Orb,
,,,,,,Chesto Berry,
,,,,,,Sitrus Berry,
,,,,,,Red Orb,
